15
0	66	21	95	29	18	34	76	52	5	39	68	70	65	79	
66	0	74	90	96	96	89	1	0	40	55	93	58	31	68	
21	74	0	0	57	40	0	57	62	27	37	66	1	94	91	
95	90	0	0	98	62	50	36	30	52	71	72	2	100	38	
29	96	57	98	0	27	83	0	81	83	79	89	87	15	52	
18	96	40	62	27	0	35	28	0	30	64	79	97	73	0	
34	89	0	50	83	35	0	34	14	6	75	24	35	10	50	
76	1	57	36	0	28	34	0	22	49	18	90	55	1	70	
52	0	62	30	81	0	14	22	0	97	71	82	91	54	84	
5	40	27	52	83	30	6	49	97	0	84	39	33	35	54	
39	55	37	71	79	64	75	18	71	84	0	11	100	61	26	
68	93	66	72	89	79	24	90	82	39	11	0	0	13	93	
70	58	1	2	87	97	35	55	91	33	100	0	0	14	54	
65	31	94	100	15	73	10	1	54	35	61	13	14	0	0	
79	68	91	38	52	0	50	70	84	54	26	93	54	0	0	
